JobID           JobName  Partition    Account  AllocCPUS      State ExitCode 
3239693_2917 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2918 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2919 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2920 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2921 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2922 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2923 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2924 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2925 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2926 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2927 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2928 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2929 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2930 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2931 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2932 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2933 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2934 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2935 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2936 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2937 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2938 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2939 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2940 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2941 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2942 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2943 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2944 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2945 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2946 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2947 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2948 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2949 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2950 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2951 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2952 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2953 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2954 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2955 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2956 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2957 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2958 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2959 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2960 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2961 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2962 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2963 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2964 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2965 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2966 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2967 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2968 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2969 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2970 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2971 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2972 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2973 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2974 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2975 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2976 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2977 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2978 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2979 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2980 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2981 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2982 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2983 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2984 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2985 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2986 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2987 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2988 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2989 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2990 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2991 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2992 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2993 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2994 sc${SLURM+     normal     p31578          1    RUNNING      0:0 
3239693_2995 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
3239693_2996 sc${SLURM+     normal     p31578          1 OUT_OF_ME+    0:125 
