             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           6994999      long layer16_  hlw0901 PD       0:00      4 (Priority)
           6994998      long layer16_  hlw0901 PD       0:00      4 (Priority)
           6994997      long layer16_  hlw0901 PD       0:00      4 (Priority)
           6994996      long layer13_  hlw0901 PD       0:00      4 (Priority)
           6994995      long layer13_  hlw0901 PD       0:00      4 (Priority)
           6994994      long layer13_  hlw0901 PD       0:00      4 (Priority)
           6994993      long layer13_  hlw0901 PD       0:00      4 (Priority)
           6994992      long layer11_  hlw0901 PD       0:00      4 (Priority)
           6994991      long layer11_  hlw0901 PD       0:00      4 (Priority)
           6994990      long layer11_  hlw0901 PD       0:00      4 (Priority)
           6994989      long layer11_  hlw0901 PD       0:00      4 (Priority)
           6994988      long layer9_v  hlw0901 PD       0:00      4 (Priority)
           6994987      long layer9_v  hlw0901 PD       0:00      4 (Priority)
           6994986      long layer9_v  hlw0901 PD       0:00      4 (Priority)
           6994985      long layer9_v  hlw0901 PD       0:00      4 (Priority)
           6994984      long layer6_v  hlw0901 PD       0:00      4 (Priority)
           6994983      long layer6_v  hlw0901 PD       0:00      4 (Priority)
           6994982      long layer6_v  hlw0901 PD       0:00      4 (Priority)
           6994981      long layer6_v  hlw0901 PD       0:00      4 (Priority)
           6994980      long layer4_v  hlw0901 PD       0:00      4 (Priority)
           6994979      long layer4_v  hlw0901 PD       0:00      4 (Priority)
           6994978      long layer4_v  hlw0901 PD       0:00      4 (Priority)
           6994977      long layer4_v  hlw0901 PD       0:00      4 (Priority)
           7387654      long     bash  jby2484 PD       0:00      1 (Priority)
           7295255      long     bash  hyr4336 PD       0:00      1 (Priority)
           7295217      long     bash  lyo7315 PD       0:00      1 (Priority)
           7378869      long xzbox_HG  ctz3576 PD       0:00      1 (Priority)
           7311914      long 2x nYtoS  jjg9482 PD       0:00      8 (Priority)
           7311913      long 2x nKRto  jjg9482 PD       0:00      8 (Priority)
           7311912      long     2x n  jjg9482 PD       0:00      8 (Priority)
           7311911      long 2x n-cYt  jjg9482 PD       0:00      8 (Priority)
           7311910      long 2x n-cKR  jjg9482 PD       0:00      8 (Priority)
           7311909      long   2x n-c  jjg9482 PD       0:00      8 (Priority)
           7311908      long   2x fp5  jjg9482 PD       0:00      8 (Priority)
           7311907      long 2x cYtoS  jjg9482 PD       0:00      8 (Priority)
           7311906      long 2x cKRto  jjg9482 PD       0:00      8 (Priority)
           7311905      long     2x c  jjg9482 PD       0:00      8 (Priority)
           7376249      long filename  xwb7910 PD       0:00      8 (Priority)
           7312194      long hlf n-cY  jjg9482 PD       0:00      2 (Priority)
           7312223      long hlf nKRt  jjg9482 PD       0:00      2 (Priority)
           6758430      long layer18_  hlw0901  R   18:18:50      4 qnode[0386,0420,0469,0504]
           6758451      long layer20_  hlw0901  R    1:08:28      4 qnode[1237,1246,1256-1257]
           6758450      long layer20_  hlw0901  R    1:55:09      4 qnode[0427,0503,0527,0546]
           6758448      long layer18_  hlw0901  R    2:20:29      4 qnode[0393,0397,0536-0537]
           6758447      long layer18_  hlw0901  R    2:56:42      4 qnode[0545,0704,0706,0712]
           6758446      long layer18_  hlw0901  R    3:27:05      4 qnode[0416-0417,0511,0551]
           6758445      long layer18_  hlw0901  R    4:39:37      4 qnode[1162,1261-1263]
           6758443      long layer18_  hlw0901  R    8:31:57      4 qnode[1241,1247-1249]
           6758442      long layer18_  hlw0901  R    9:12:26      4 qnode[0412,0424,0461,0499]
           6758441      long layer18_  hlw0901  R    9:18:27      4 qnode[0390,0396,0495,0534]
           6758440      long layer18_  hlw0901  R    9:32:37      4 qnode[0467,0509,0520,0703]
           6758438      long layer18_  hlw0901  R   10:42:31      4 qnode[1140,1145,1265,1267]
           6758437      long layer18_  hlw0901  R   12:30:44      4 qnode[0400-0401,0422,0528]
           6758436      long layer18_  hlw0901  R   15:07:41      4 qnode[0392,0429,0532,0549]
           6758435      long layer18_  hlw0901  R   15:29:05      4 qnode[0425,0462,0468,0512]
           6758433      long layer18_  hlw0901  R   15:49:20      4 qnode[0524,0533,0540,0547]
           6758432      long layer18_  hlw0901  R   16:21:46      4 qnode[0403,0453,0458,0526]
           6758431      long layer18_  hlw0901  R   16:45:56      4 qnode[0409,0414,0426,0435]
           6758423      long layer16_  hlw0901  R 2-00:10:12      4 qnode[1143-1144,1240,1244]
           6758416      long layer16_  hlw0901  R 2-11:18:33      4 qnode[1152-1153,1164,1254]
           6758413      long layer16_  hlw0901  R 2-20:33:51      4 qnode[0501,0505,0519,0523]
           6758412      long layer16_  hlw0901  R 2-22:16:49      4 qnode[0423,0431-0432,0530]
           6758411      long layer16_  hlw0901  R 3-05:52:10      4 qnode[0376-0378,0388]
           6758406      long layer13_  hlw0901  R 3-12:35:22      4 qnode[1149,1159,1167,1171]
           6758405      long layer13_  hlw0901  R 3-14:51:36      4 qnode[1148,1165-1166,1260]
           6695558      long     bash  hyr4336  R 6-07:29:19      1 qnode1253
           6695300      long     bash  lyo7315  R 6-06:26:12      1 qnode1251
           7244182      long      w50  jjg9482  R      52:09     12 qnode[0387,0391,0407,0465-0466,0497,0506,0539,0542,0709,0713,1137]
           7350209      long     bash  smg1656  R   20:25:04      1 qnode8133
           7275076      long 10MEN_M1  zax7745  R 2-19:08:00      1 qnode8002
           7288959      long TESTING_  zax7745  R 1-23:49:48      1 qnode8001
           7275296      long TESTING_  zax7745  R 2-18:50:08      1 qnode8124
           7275244      long 10MEN_M2  zax7745  R 2-18:54:16      1 qnode8129
           7275222      long 10MEN_M2  zax7745  R 2-18:56:29      1 qnode8001
           7275042      long 10MEN_M1  zax7745  R 2-19:10:17      1 qnode8004
           7364570      long jobscrip  adl6244  R   18:10:16      1 qnode8005
           7130450      long    hlf c  jjg9482  R 2-10:53:40      2 qnode[0399,0707]
           7024369      long    RASPA  jlu1218  R 5-18:49:44      1 qnode8133
           7024371      long    RASPA  jlu1218  R 5-18:49:44      1 qnode0451
