name,folder,date,bytes,isdir,datenum,reg1,reg2,timeSet,time,freq,encRet,hitBC,missBC,hitST,missST,subID,chi,chi2,hitSaturation,missSaturation,hitEff,missEff,hitChar,missChar
acc_hip_ret_HFB_1_21.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:04,197704,0,739444.416018519,acc,hip,HFB,-100,2,ret,0.0121681415929204,0.00379266750948167,0.0128709667631252,0.00037939709701584,SLCH010,97,86,0.0175438596491228,0.0789473684210526,0.0802108516128078,0.532940019665678,31.7476707957419,10.7600355186739
acc_hip_ret_HFB_1_22.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:05,197693,0,739444.416030093,acc,hip,HFB,-100,2,ret,0.00837547408343869,0.0072692793931732,0.014770851351457,0.0253993349859868,SLCH010,99,83,0.0263157894736842,0.149122807017544,0.107089503503104,0.533017647363241,29.6853973056588,10.6210614740159
acc_hip_ret_HFB_1_23.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:05,197693,0,739444.416030093,acc,hip,HFB,-100,2,ret,0.00837547408343869,0.0072692793931732,0.014770851351457,0.0253993349859868,SLCH010,99,84,0.0263157894736842,0.149122807017544,0.107089503503104,0.533017647363241,29.6853973056588,10.6210614740159
acc_hip_ret_HFB_1_24.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:05,197693,0,739444.416030093,acc,hip,HFB,-100,2,ret,0.00837547408343869,0.0072692793931732,0.014770851351457,0.0253993349859868,SLCH010,99,86,0.0263157894736842,0.149122807017544,0.107089503503104,0.533017647363241,29.6853973056588,10.6210614740159
acc_hip_ret_HFB_1_25.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:04,197736,0,739444.416018519,acc,hip,HFB,-100,2,ret,0.0123261694058154,0.00790139064475348,0.0201018302955745,0.0158806384148705,SLCH010,100,83,0.0175438596491228,0.105263157894737,0.123108535532848,0.529407959426584,30.8056485355411,10.6742789437966
acc_hip_ret_HFB_1_26.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:04,197736,0,739444.416018519,acc,hip,HFB,-100,2,ret,0.0123261694058154,0.00790139064475348,0.0201018302955745,0.0158806384148705,SLCH010,100,84,0.0175438596491228,0.105263157894737,0.123108535532848,0.529407959426584,30.8056485355411,10.6742789437966
acc_hip_ret_HFB_1_27.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:04,197736,0,739444.416018519,acc,hip,HFB,-100,2,ret,0.0123261694058154,0.00790139064475348,0.0201018302955745,0.0158806384148705,SLCH010,100,86,0.0175438596491228,0.105263157894737,0.123108535532848,0.529407959426584,30.8056485355411,10.6742789437966
acc_hip_ret_HFB_1_3.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43430,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.00908455625436757,0.023759608665269,0.00946984351228992,0.0194871214743783,LC04,35,1,0.0181818181818182,0.2,0.119473037250815,0.554994388327721,28.2882032990627,10.2549352971542
acc_hip_ret_HFB_1_4.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43425,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.00908455625436757,0.023759608665269,0.00946984351228992,0.0194871214743783,LC04,35,2,0.0181818181818182,0.2,0.119473037250815,0.554994388327721,28.2882032990627,10.2549352971542
acc_hip_ret_HFB_1_5.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43430,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.00908455625436757,0.023759608665269,0.00946984351228992,0.0194871214743783,LC04,35,3,0.0181818181818182,0.2,0.119473037250815,0.554994388327721,28.2882032990627,10.2549352971542
acc_hip_ret_HFB_1_6.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43429,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.00908455625436757,0.023759608665269,0.00946984351228992,0.0194871214743783,LC04,35,4,0.0181818181818182,0.2,0.119473037250815,0.554994388327721,28.2882032990627,10.2549352971542
acc_hip_ret_HFB_1_7.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43449,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.0125786163522013,0.010482180293501,0.0146848093904716,0.00588343758342907,LC04,37,1,0.0363636363636364,0.127272727272727,0.10064112281284,0.528114478114477,26.9850919703452,10.87526215218
acc_hip_ret_HFB_1_8.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43444,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.0125786163522013,0.010482180293501,0.0146848093904716,0.00588343758342907,LC04,37,2,0.0363636363636364,0.127272727272727,0.10064112281284,0.528114478114477,26.9850919703452,10.87526215218
acc_hip_ret_HFB_1_9.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43449,0,739444.416076389,acc,hip,HFB,-100,2,ret,0.0125786163522013,0.010482180293501,0.0146848093904716,0.00588343758342907,LC04,37,3,0.0363636363636364,0.127272727272727,0.10064112281284,0.528114478114477,26.9850919703452,10.87526215218
acc_mtl_enc_HFB_1_1.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:09,43438,0,739444.416076389,acc,mtl,HFB,-225,2,enc,0.0293501048218029,0.0076869322152341,0.0213469499366037,0.0272306299062625,LC04,35,5,0.0545454545454545,0.127272727272727,0.152990754101865,0.520650953984286,27.2197660424538,11.5066172123952
acc_mtl_enc_HFB_1_10.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:08,124629,0,739444.416064815,acc,mtl,HFB,-225,2,enc,0.0034956304619226,0.00149812734082397,0.0108797268776408,0.0106054299528364,NM04,55,23,0.043956043956044,0.131868131868132,0.369983138554569,0.448449328449334,17.577378698779,14.1701041650555
acc_mtl_enc_HFB_1_11.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:08,124630,0,739444.416064815,acc,mtl,HFB,-225,2,enc,0.0034956304619226,0.00149812734082397,0.0108797268776408,0.0106054299528364,NM04,55,24,0.043956043956044,0.131868131868132,0.369983138554569,0.448449328449334,17.577378698779,14.1701041650555
acc_mtl_enc_HFB_1_12.mat,R:\MSS\Johnson_Lab\dtf8829\QuestConnect\graphAnalysis\out,11-Jul-2024 09:59:08,124630,0,739444.416064815,acc,mtl,HFB,-225,2,enc,0.0034956304619226,0.00149812734082397,0.0108797268776408,0.0106054299528364,NM04,55,25,0.043956043956044,0.131868131868132,0.369983138554569,0.448449328449334,17.577378698779,14.1701041650555
